preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
Externekwalificatie_SAP_ID;741;6.97;174;5.94;0171;5.44;NA;NA;NA;NA
Externekwalificatie;BACHELOR WO;6.97;VWO NIEUW (N+T EN N+G);5.94;VWO ATH N+G;5.44;NA;NA;NA;NA
Verificatie_vooropleiding;GD;71.61;N;11.89;GV;6.9;DD;6.25;NA;NA
BRIN_nummer;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VOP_BRIN_locatie;onbekend, zie diploma;56.63;AMSTERDAM;6;NA;NA;NA;NA;NA;NA
Vak_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Middelbare_schoolcijfer;70;23.82;60;21.97;80;9.68;NA;NA;NA;NA
