preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
HNP_Honours_programma_startjaar;2020/2021;15.51;2019/2020;14.69;2018/2019;9.52;2013/2014;8.01;2011/2012;7.81
ACAD_JAAR_OMS;2020/2021;10.1;2021/2022;9.27;2022/2023;9.27;2015/2016;8.73;2019/2020;7.64
INS_Opleidingsnaam_2002;B Psychologie;12.38;M Geneeskunde;10.97;B Geneeskunde;7.55;B Rechtsgeleerdheid;5.07;NA;NA
INS_Faculteit;BETA;26.94;GNK;19.74;FGB;14.76;SBE;11.75;FSW;8.09
