Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Opmerkingen;
;Intensief programma;FALSE;character;24,0715749;NA;NA;NA;FALSE;"Alleen ""B Philosophy, Politics and Economics"" heeft Ja";'Nee', 'Ja'
UAS_Opleiding_Export_web_opleiding;Export web catalogus;TRUE;character;24,0715749;NA;NA;NA;FALSE;Nee is vaak post-graduate of joint degree opleiding;'Ja', 'Nee'
;Afstudeer status;FALSE;character;24,0715749;NA;NA;NA;FALSE;Nee of leeg;'Nee'
;Minimum (EC);FALSE;numeric;28,69014379;NA;NA;NA;FALSE;Is heel vaak 0;'180', '60', '120', '0', '30'
UAS_Opleiding_maximum_EC;Maximum (EC);TRUE;numeric;28,69014379;NA;NA;NA;FALSE;Ook dit heeft afwijkende waarden;'180', '60', '120', '999', '30', '0', '62', '66', '63', '61', '36'
;Minimum;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Optimum;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Maximum;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Kaderbedrag;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Budget;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Vrije keuze;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
;Over van budget;FALSE;character;118,6546618;NA;NA;NA;FALSE;Altijd leeg;
UAS_Opleiding_Lange_opleidingsnaam_EN;Lange naam (studiegids, diplomasupplement) (EN);TRUE;character;64,40273989;NA;NA;NA;FALSE;Vaker niet ingevuld dan naam (zie boven), maar wel officiële naam, dus handig om te bewaren;
UAS_Opleiding_Lange_opleidingsnaam_NL;Lange naam (studiegids, diplomasupplement) (NL);TRUE;character;55,1656021;NA;NA;NA;FALSE;Vaker niet ingevuld dan naam (zie boven), maar wel officiële naam, dus handig om te bewaren;
