preferred_field_name;min;max;q1;median;q3;mean;sd
BSA_Student_ID;NA;NA;NA;NA;NA;NA;NA
RES_Studieprogramma_ID;50043568;52912628;50046884;50051118;50051758;50198620;428447
BSA_Studie_ID;50410678;53051686;50873525;51427086;52032369;51480347;682198
BSA_Begindatum;0;99990901;20130620;20171121;20210722;17529132;6819839
BSA_Einddatum;0;99991231;20140806;20200831;20250831;36413262;36000000
BSA_Auditdatum;0;20240910;20121129;20170120;20210510;16645147;7671722
BSA_Status_omschrijving;NA;NA;NA;NA;NA;NA;NA
BSA_Actief;NA;NA;NA;NA;NA;NA;NA
