preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
INS_Studierichting;EM_BA;6.74;RM_Recht;6.7;PB_PSY;6.64;NA;NA;NA;NA
INS_Studierichting_omschrijving;M Business Administration;6.91;M Rechtsgeleerdheid;6.7;B Psychologie;6.64;NA;NA;NA;NA
INS_Minor_specialisatie_variant;1 Specialisatie;21.1;2 Specialisaties;19.44;1 Minor;18.47;1 Spec + 1 Minor;14.38;3 Spec;10.73
INS_Minor_specialisatie_soort;S;62.14;MI;34.35;NA;NA;NA;NA;NA;NA
INS_Minor_specialisatie_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Minor_specialisatie_status;Actief;81.09;Afgewezen;18.55;NA;NA;NA;NA;NA;NA
