preferred_field_name;min;max;q1;median;q3;mean;sd
VAK_Academisch_jaar;2011-2012;2019-2021;NA;NA;NA;NA;NA
VAK_Opleidingsnaam;Aarde en economie;Wiskunde;NA;NA;NA;NA;NA
VAK_Specialisatienaam;A&O;X;NA;NA;NA;NA;NA
VAK_Code_afstudeeropdracht;A_HP-I-2;XM_422615;NA;NA;NA;NA;NA
VAK_Code_stage;AB_1070;XM_422613;NA;NA;NA;NA;NA
VAK_Fase;B;M;NA;NA;NA;NA;NA
OPL_CROHO_code;06823;75134;56703;60203;65012;59731;7342
VAK_Opmerking;* Alleen tweede jaar vakcodes zijn te vinden op VUnet.;*Keuze uit één vd stages;NA;NA;NA;NA;NA
