preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
VAK_Academisch_jaar;2018-2019;50.49;2019-2020;49.51;NA;NA;NA;NA;NA;NA
VAK_Minornaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Vaknaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Periode;P2;34.99;P1;33.69;P3;14.93;NA;NA;NA;NA
VAK_EC;6EC;88.58;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Code;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Verplicht;k;12.23;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Opmerking;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
