preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
MAC_Begindatum;01.09.2002;21.04;01.09.2015;6.99;01.09.2014;6.93;01.09.2013;5.83;01.09.2016;5.72
MAC_Einddatum;31.08.2015;14.43;31.08.2016;13.57;31.08.2017;11.98;31.08.2014;9.38;31.08.2013;6.84
MVR_Matchingsvragenlijst_verplicht_bij_opleiding;N;57.67;Y;30.27;O;6.62;NA;NA;NA;NA
MAC_Matchingsactiviteit_deelgenomen;Y;10.76;NA;NA;NA;NA;NA;NA;NA;NA
MAC_Matchingsactiviteit_resultaat;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_Matchingsvragenlijst_vrijstelling;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_Matchingsvragenlijst_ingevuld;X;28.93;NA;NA;NA;NA;NA;NA;NA;NA
MAC_Matchingactiviteit_vrijstelling;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MAC_Matchingsreden_vrijstelling;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
