preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
ROO_Locatie;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ROO_Gebouw;HG;36.89;WN;24.83;MF;14.85;NA;NA;NA;NA
ROO_Zaalcategorie;25-45;35.73;< 20;21.58;20-24;15.31;46-70;10.44;71-90;6.73
ROO_Zaal_type;Werkgroepzaal;51.97;Collegezaal;18.33;Computerzaal;13.23;Practicumzaal;6.96;NA;NA
ROO_Toevoegingen;In verbouwing;17.17;Stilteruimte in tentamenweken;9.98;Computer;9.74;NA;NA;NA;NA
ROO_Leenrechten;Ja;66.36;Nee;33.41;NA;NA;NA;NA;NA;NA
